Time,Num,AvgCPU,AvgMEM,C1CPU,CIMEM,...
05:21:12,5,3.94,0.48,1.93,0.49,13.57,0.47,1.24,0.48,1.59,0.50,1.39,0.48
05:21:14,5,84.60,0.51,76.25,0.51,75.17,0.50,97.18,0.50,105.17,0.53,69.21,0.51
05:21:16,5,71.11,0.52,52.42,0.52,50.87,0.51,103.31,0.51,109.77,0.54,39.17,0.52
05:21:19,5,68.86,0.54,46.09,0.54,60.78,0.52,102.33,0.53,100.85,0.57,34.23,0.53
05:21:21,5,41.23,0.59,0.50,0.60,6.01,0.62,97.09,0.55,102.05,0.59,0.50,0.60
05:21:23,5,42.76,0.62,3.61,0.65,2.68,0.67,97.84,0.55,101.83,0.60,7.83,0.65
05:21:25,5,41.02,0.63,0.19,0.66,0.06,0.67,100.00,0.55,104.62,0.60,0.25,0.65
05:21:28,5,46.60,0.64,6.54,0.68,5.92,0.70,101.31,0.55,104.97,0.60,14.24,0.69
05:21:30,5,49.47,0.65,5.83,0.69,23.18,0.73,103.40,0.55,106.61,0.60,8.34,0.70
05:21:32,5,47.91,0.67,16.56,0.70,16.99,0.73,89.10,0.61,113.55,0.61,3.37,0.70
05:21:34,5,22.19,0.67,0.48,0.70,1.05,0.73,0.73,0.61,108.65,0.61,0.05,0.71
05:21:36,5,13.14,0.72,14.86,0.73,6.11,0.74,6.63,0.66,30.21,0.73,7.88,0.73
05:21:39,5,18.47,0.72,26.13,0.73,12.74,0.74,14.27,0.66,26.46,0.74,12.75,0.73
05:21:41,5,28.46,0.72,37.93,0.74,24.45,0.74,23.96,0.66,33.45,0.74,22.52,0.73
05:21:43,5,6.92,0.72,16.49,0.74,4.06,0.74,2.19,0.66,4.05,0.74,7.83,0.73
05:21:45,5,3.71,0.72,1.43,0.74,1.23,0.74,1.86,0.66,0.68,0.74,13.35,0.73
05:21:48,5,3.52,0.72,1.35,0.74,1.35,0.74,1.36,0.66,0.17,0.74,13.37,0.73
05:21:50,5,3.00,0.72,1.09,0.74,1.07,0.74,1.10,0.66,0.15,0.74,11.57,0.73
05:21:52,5,3.80,0.72,2.07,0.74,1.66,0.74,1.35,0.65,0.15,0.74,13.76,0.73
05:21:54,5,15.57,0.72,7.10,0.74,38.12,0.74,11.53,0.65,12.84,0.74,8.28,0.73
05:21:56,5,8.60,0.72,21.58,0.74,6.70,0.74,5.28,0.65,4.51,0.74,4.92,0.73
05:21:58,5,3.20,0.72,11.43,0.74,1.10,0.74,1.22,0.65,1.08,0.74,1.15,0.73
05:22:01,5,3.41,0.72,1.19,0.74,1.27,0.74,1.25,0.66,13.21,0.74,0.15,0.73
05:22:03,5,9.66,0.72,4.98,0.74,6.32,0.75,25.44,0.66,5.24,0.74,6.33,0.73
05:22:05,5,8.39,0.72,3.72,0.74,21.12,0.75,6.72,0.66,4.71,0.74,5.67,0.73
05:22:07,5,8.47,0.72,6.65,0.74,8.45,0.75,8.04,0.66,0.45,0.74,18.75,0.73
05:22:09,5,3.25,0.72,1.16,0.74,1.31,0.75,1.34,0.66,0.12,0.74,12.30,0.73
05:22:12,5,5.07,0.72,1.84,0.74,2.82,0.75,16.93,0.66,2.53,0.74,1.24,0.73
05:22:14,5,13.26,0.72,8.30,0.74,12.17,0.75,14.71,0.66,5.19,0.74,25.92,0.73
05:22:16,5,3.52,0.73,1.35,0.74,1.18,0.75,1.34,0.66,0.13,0.74,13.58,0.74
05:22:19,5,5.35,0.72,1.44,0.74,2.24,0.75,5.26,0.66,16.94,0.74,0.87,0.73
05:22:21,5,7.54,0.73,1.29,0.74,1.35,0.75,15.54,0.66,18.02,0.74,1.51,0.74
05:22:23,5,10.11,0.73,6.21,0.74,4.40,0.75,8.16,0.66,14.53,0.74,17.25,0.74
05:22:25,5,6.19,0.73,1.16,0.74,1.42,0.75,1.18,0.66,14.95,0.74,12.23,0.74
